"Journey 2 The Mysterious Island",2012,"http://www.imdb.com/title/tt1397514/"
"Journey to the Center of the Earth",2008,"http://www.imdb.com/title/tt1156454/"
"Jumper",2008,"http://www.imdb.com/title/tt1143900/"
"Jurassic Park",1993,"http://www.imdb.com/title/tt0478182/"
"Jurassic Park II The Lost World",1997,"http://www.imdb.com/title/tt0119567/"
"Jurassic Park III",2001,"http://www.imdb.com/title/tt0163025/"
"Kick-Ass",2010,"http://www.imdb.com/title/tt1250777/"
"Killer Elite",2011,"http://www.imdb.com/title/tt1448755/"
"Killer Joe",2011,"http://www.imdb.com/title/tt1726669/"
"Killing Them Softly",2012,"http://www.imdb.com/title/tt1764234/"
"Kingdom of Heaven",2005,"http://www.imdb.com/title/tt0320661/"
"King Kong",2005,"http://www.imdb.com/title/tt0360717/"
"Kiss Kiss Bang Bang",2005,"http://www.imdb.com/title/tt0373469/"
"Law Abiding Citizen",2009,"http://www.imdb.com/title/tt1197624/"
"Lawless",2012,"http://www.imdb.com/title/tt1212450/"
"Limitless",2011,"http://www.imdb.com/title/tt1948070/"
"Lockout",2012,"http://www.imdb.com/title/tt2149310/"
"Looper",2012,"http://www.imdb.com/title/tt1276104/"
"Love",2012,"http://www.imdb.com/title/tt2202471/"
"Lucky Number Slevin",2006,"http://www.imdb.com/title/tt0425210/"
"Machete",2010,"http://www.imdb.com/title/tt0985694/"
"Machine Gun Preacher",2011,"http://www.imdb.com/title/tt1586752/"
"Madagascar 3: Europe's Most Wanted",2012,"http://www.imdb.com/title/tt1277953/"
"Magic Mike",2012,"http://www.imdb.com/title/tt1915581/"
"Margin Call",2011,"http://www.imdb.com/title/tt1615147/"
"Memento",2000,"http://www.imdb.com/title/tt0209144/"
"Men in Black 3",2012,"http://www.imdb.com/title/tt1409024/"
"Men in Black II",2002,"http://www.imdb.com/title/tt0120912/"
"Mission: Impossible 1",1996,"http://www.imdb.com/title/tt0117060/"
"Mission: Impossible 2",2000,"http://www.imdb.com/title/tt0120755/"
"Mission: Impossible 3",2006,"http://www.imdb.com/title/tt0317919/"
"Mission: Impossible - Ghost Protocol",2011,"http://www.imdb.com/title/tt1229238/"
"Moon",2009,"http://www.imdb.com/title/tt1182345/"
"Moonrise Kingdom",2012,"http://www.imdb.com/title/tt1748122/"
"Mr. Deeds",2002,"http://www.imdb.com/title/tt0280590/"
"Mr. & Mrs. Smith",2005,"http://www.imdb.com/title/tt0356910/"
"Mr. Popper's Penguins",2011,"http://www.imdb.com/title/tt1396218/"
"No Country for Old Men",2007,"http://www.imdb.com/title/tt0477348/"
"Office Space",1999,"http://www.imdb.com/title/tt0151804/"
"Paul",2011,"http://www.imdb.com/title/tt2087911/"
"Pirates of the Caribbean: On Stranger Tides",2011,"http://www.imdb.com/title/tt1298650/"
"Poseidon",2006,"http://www.imdb.com/title/tt0409182/"
"Predators",2010,"http://www.imdb.com/title/tt1424381/"
"Premium Rush",2012,"http://www.imdb.com/title/tt1547234/"
"Priest",2011,"http://www.imdb.com/title/tt0822847/"
"Project X",2012,"http://www.imdb.com/title/tt1636826/"
"Prometheus",2012,"http://www.imdb.com/title/tt2221298/"
"Pulp Fiction",1994,"http://www.imdb.com/title/tt0110912/"
"Race to Witch Mountain",2009,"http://www.imdb.com/title/tt1075417/"
"Rampart",2011,"http://www.imdb.com/title/tt1640548/"
"Real Steel",2011,"http://www.imdb.com/title/tt2100609/"
"Recoil",2011,"http://www.imdb.com/title/tt1839591/"
"Red",2010,"http://www.imdb.com/title/tt1667330/"
"Red Tails",2012,"http://www.imdb.com/title/tt0485985/"
"Repo Men",2010,"http://www.imdb.com/title/tt1053424/"
"Resident Evil: Afterlife",2010,"http://www.imdb.com/title/tt1220634/"
"Resident Evil: Retribution",2012,"http://www.imdb.com/title/tt1855325/"
"Rise of the Planet of the Apes",2011,"http://www.imdb.com/title/tt1318514/"
"Robin Hood",2010,"http://www.imdb.com/title/tt0955308/"
"Role Models",2008,"http://www.imdb.com/title/tt0430922/"
"Rush Hour",1998,"http://www.imdb.com/title/tt0120812/"
"Rush Hour 2",2001,"http://www.imdb.com/title/tt0266915/"
"Rush Hour 3",2007,"http://www.imdb.com/title/tt0293564/"
"Safe",2012,"http://www.imdb.com/title/tt2398215/"
"Safe House",2012,"http://www.imdb.com/title/tt2381304/"
"Sahara",2005,"http://www.imdb.com/title/tt0318649/"
"Salt",2010,"http://www.imdb.com/title/tt0944835/"
"Sanctum",2011,"http://www.imdb.com/title/tt0881320/"
"Savages",2012,"http://www.imdb.com/title/tt1615065/"
"Saving Private Ryan",1998,"http://www.imdb.com/title/tt0120815/"
"Saw VII",2010,"http://www.imdb.com/title/tt1477076/"
"Seal Team Six: The Raid on Osama Bin Laden",2012,"http://www.imdb.com/title/tt2095605/"
"Serenity",2005,"http://www.imdb.com/title/tt0379786/"
"Seven Psychopaths",2012,"http://www.imdb.com/title/tt1931533/"
"Sherlock Holmes",2009,"http://www.imdb.com/title/tt0988045/"
"Sherlock Holmes: A Game of Shadows",2011,"http://www.imdb.com/title/tt1515091/"
"Shooter",2010,"http://www.imdb.com/title/tt1726751/"
"Sky Captain and the World of Tomorrow",2004,"http://www.imdb.com/title/tt0346156/"
"Sleep Dealer",2008,"http://www.imdb.com/title/tt0804529/"
"Small Soldiers",1998,"http://www.imdb.com/title/tt0452686/"
"Snatch.",2000,"http://www.imdb.com/title/tt0208092/"
"Snow White and the Huntsman",2012,"http://www.imdb.com/title/tt1735898/"
"Source Code",2011,"http://www.imdb.com/title/tt0945513/"
"Special Forces",2011,"http://www.imdb.com/title/tt1656192/"
"Stargate",1994,"http://www.imdb.com/title/tt0111282/"
"Star Trek",2009,"http://www.imdb.com/title/tt0796366/"
"Star Wars Episode II Attack Of The Clones",2002,"http://www.imdb.com/title/tt0121765/"
"Star Wars Episode III Revenge Of The Sith",2005,"http://www.imdb.com/title/tt0121766/"
"Star Wars Episode I The Phantom Menace",1999,"http://www.imdb.com/title/tt0120915/"
"Star Wars Episode IV A New Hope",1977,"http://www.imdb.com/title/tt0076759/"
"Star Wars Episode VI Return Of The Jedi",1983,"http://www.imdb.com/title/tt0086190/"
"Star Wars Episode V The Empire Strikes Back",1980,"http://www.imdb.com/title/tt0080684/"
"Stay",2005,"http://www.imdb.com/title/tt0483811/"
"Stolen",2012,"http://www.imdb.com/title/tt1656186/"
"Sucker Punch",2011,"http://www.imdb.com/title/tt0978764/"
"Sunshine",2007,"http://www.imdb.com/title/tt0448134/"
"Super 8",2011,"http://www.imdb.com/title/tt1650062/"
"Super Troopers",2001,"http://www.imdb.com/title/tt0247745/"
"Swordfish",2001,"http://www.imdb.com/title/tt0244244/"
"Taken",2008,"http://www.imdb.com/title/tt1298720/"
"Taken 2",2012,"http://www.imdb.com/title/tt1397280/"
"Takers",2010,"http://www.imdb.com/title/tt1135084/"
"Team America: World Police",2004,"http://www.imdb.com/title/tt0372588/"
"Tears of the Sun",2003,"http://www.imdb.com/title/tt0314353/"
"Ted",2012,"http://www.imdb.com/title/tt1637725/"
"Terminator 2 Judgement Day",1991,"http://www.imdb.com/title/tt0103064/"
"Terminator 3 Rise of the Machines",2003,"http://www.imdb.com/title/tt0364056/"
"Terminator Salvation",2009,"http://www.imdb.com/title/tt1330058/"
"Thank You for Smoking",2005,"http://www.imdb.com/title/tt0427944/"
"That's My Boy",2012,"http://www.imdb.com/title/tt1232200/"
"The Adventures of Tintin",2011,"http://www.imdb.com/title/tt0983193/"
"The Amazing Spiderman",2012,"http://www.imdb.com/title/tt0948470/"
"The American",2010,"http://www.imdb.com/title/tt1440728/"
"The A-Team",2010,"http://www.imdb.com/title/tt0429493/"
"The Avengers",2012,"http://www.imdb.com/title/tt0848228/"
"The Book of Eli",2010,"http://www.imdb.com/title/tt1037705/"
"The Boondock Saints",1999,"http://www.imdb.com/title/tt0144117/"
"The Bourne Legacy",2012,"http://www.imdb.com/title/tt1194173/"
"The Campaign",2012,"http://www.imdb.com/title/tt2485022/"
"The Change-Up",2011,"http://www.imdb.com/title/tt1488555/"
"The Condemned",2007,"http://www.imdb.com/title/tt0443473/"
"The Darkest Hour",2011,"http://www.imdb.com/title/tt1093357/"
"The Dark Knight",2008,"http://www.imdb.com/title/tt1774602/"
"The Dark Knight Rises",2012,"http://www.imdb.com/title/tt1345836/"
"The Departed",2006,"http://www.imdb.com/title/tt0407887/"
"The Eagle",2011,"http://www.imdb.com/title/tt1034389/"
"The Expendables",2010,"http://www.imdb.com/title/tt1320253/"
"The Expendables 2",2012,"http://www.imdb.com/title/tt1764651/"
"The Girl with the Dragon Tattoo",2011,"http://www.imdb.com/title/tt1568346/"
"The Green Hornet",2011,"http://www.imdb.com/title/tt0990407/"
"The Grey",2011,"http://www.imdb.com/title/tt1601913/"
"The Hangover",2009,"http://www.imdb.com/title/tt1119646/"
"The Hangover Part II",2011,"http://www.imdb.com/title/tt1411697/"
"The Host",2006,"http://www.imdb.com/title/tt0468492/"
"The Hunger Games",2012,"http://www.imdb.com/title/tt1392170/"
"The Hurt Locker",2008,"http://www.imdb.com/title/tt0887912/"
"The Incredible Hulk",2008,"http://www.imdb.com/title/tt1221815/"
"The Jacket",2005,"http://www.imdb.com/title/tt0366627/"
"The Legend of the Guardians",2010,"http://www.imdb.com/title/tt1219342/"
"The Lord of the Rings: The Fellowship of the Ring",2001,"http://www.imdb.com/title/tt0120737/"
"The Lord of the Rings: The Return of the King ",2003,"http://www.imdb.com/title/tt0167260/"
"The Lord of the Rings: The Two Towers",2002,"http://www.imdb.com/title/tt0347436/"
"The Man From Earth",2007,"http://www.imdb.com/title/tt0756683/"
"The Matrix",1999,"http://www.imdb.com/title/tt0133093/"
"The Matrix Reloaded",2003,"http://www.imdb.com/title/tt0234215/"
"The Matrix Revolutions",2003,"http://www.imdb.com/title/tt0242653/"
"The Mechanic",2011,"http://www.imdb.com/title/tt0472399/"
"The Mexican",2001,"http://www.imdb.com/title/tt0236493/"
"The Mummy",1999,"http://www.imdb.com/title/tt0120616/"
"The Mummy 3",2008,"http://www.imdb.com/title/tt0859163/"
"The Mummy Returns",2001,"http://www.imdb.com/title/tt0301636/"
"The Next Three Days",2010,"http://www.imdb.com/title/tt1458175/"
"The Other Guys",2010,"http://www.imdb.com/title/tt1386588/"
"The Raid: Redemption",2011,"http://www.imdb.com/title/tt1899353/"
"There Will Be Blood",2007,"http://www.imdb.com/title/tt0469494/"
"The Rum Diary",2011,"http://www.imdb.com/title/tt0376136/"
